well_id,Station Code,Station Name,State,District,Latitude,Longitude,Well Depth,period,gwl,measurement_month_start,soil_moisture_1m,soil_moisture_3m,soil_moisture_6m,soil_moisture_12m,et_1m,et_3m,et_6m,et_12m,rainfall_1m,rainfall_3m,rainfall_6m,rainfall_12m,grace_tws_1m,grace_tws_3m,grace_tws_6m,grace_tws_12m,welltype_Bore well,welltype_Dug well,welltype_Tube well,aquifer_-,aquifer_Confined,aquifer_Semi-confined,aquifer_Unconfined,gwl_lag1,gwl_lag2,gwl_lag3,gwl_lag4
14.9917_78.4,145930000000000.0,Nossam,Andhra pradesh,Kurnool,14.9917,78.4,11.4,Jan-12,5.230000019,2012-01-01,22.970647403172084,26.263891083853583,27.362013135637557,23.41736698150635,2.1865240211939507e-05,3.136211983343985e-05,3.3101488432813706e-05,2.300682301990621e-05,0.0,86.72192732960573,358.4452349625382,486.31147253045856,5.955455264363762,10.60025157318509,11.790371262801171,6.684111066740793,False,True,False,False,False,False,True,2.470000029,0.449999988,7.96999979,2.640000105
14.9917_78.4,145930000000000.0,Nossam,Andhra pradesh,Kurnool,14.9917,78.4,11.4,Nov-14,5.150000095,2014-11-01,31.250000544956755,29.470718111310685,26.44984177180699,23.179187093462264,4.390238219847171e-05,3.731012033573019e-05,2.8640562179914143e-05,2.1686525672391452e-05,124.26944801854154,358.8797817650964,564.5378953382083,586.2799828964122,,8.812544729114105,1.6748135313011256,-3.113693367851831,False,True,False,False,False,False,True,9.149999619,9.5,7.300000191,2.5
15.0083_77.4167,150030000000000.0,Vajrakarur,Andhra pradesh,Anantapur,15.0083,77.4167,16.3,May-03,9.149999619,2003-05-01,22.219546212090385,19.27335696750217,21.70297799287019,27.074019608674224,1.2410082760012573e-05,9.454560683850474e-06,1.3225372472165705e-05,2.039605492932929e-05,16.489756950965294,17.924565319831554,28.64599953706448,480.237955065874,-23.35828776187437,-19.575768110849317,-8.244177565901568,-0.8343032615987889,False,True,False,True,False,False,False,7.389999866,6.25,6.880000114,5.900000095
15.0083_77.4167,150030000000000.0,Vajrakarur,Andhra pradesh,Anantapur,15.0083,77.4167,16.3,Aug-03,9.550000191,2003-08-01,35.43823002002857,26.512581648649995,22.94710018016674,26.371361555876558,3.058513761465697e-05,1.873368024394882e-05,1.413242036371095e-05,1.9223394364989536e-05,39.78030366393236,86.48138829377982,104.40595361361136,382.5832805587696,,-14.457040515241856,-23.020232065784576,-6.444564490120223,False,True,False,True,False,False,False,9.149999619,7.389999866,6.25,6.880000114
15.0083_77.4167,150030000000000.0,Vajrakarur,Andhra pradesh,Anantapur,15.0083,77.4167,16.3,Nov-03,10.0,2003-11-01,37.81903062043367,33.656497955322266,30.11378881666396,25.87931124369304,3.674680448495093e-05,3.103453760828685e-05,2.4969781171185542e-05,1.9052159620548112e-05,128.06820476055145,253.1235977961467,339.60498608992646,368.250985626991,,6.653117539871868,-1.0646759066005185,-9.976609272302472,False,True,False,True,False,False,False,9.550000191,9.149999619,7.389999866,6.25
15.0083_77.4167,150030000000000.0,Vajrakarur,Andhra pradesh,Anantapur,15.0083,77.4167,16.3,Jan-04,10.57999992,2004-01-01,19.98512621279116,28.62897230077673,30.77590723390932,25.356555161652743,1.1285215569606172e-05,2.443452784198733e-05,2.6794519389686348e-05,1.8588415884921603e-05,1.541303355533343,135.4785834831687,300.3142801826963,364.9399301323753,,-3.1156293950973737,0.7934156197290074,-10.28019038117619,False,True,False,True,False,False,False,10.0,9.550000191,9.149999619,7.389999866
15.0083_77.4167,150030000000000.0,Vajrakarur,Andhra pradesh,Anantapur,15.0083,77.4167,16.3,May-04,11.89999962,2004-05-01,24.026967649106624,18.88133903785988,20.595540788438583,25.367704320836957,1.4459343219641596e-05,8.549882329168247e-06,1.1711177008961655e-05,1.8358642423495276e-05,32.58025710399335,32.58025710399335,39.9906358266106,379.5956219165371,-32.259116274705214,-25.786166330743796,-15.10628574639346,-9.48964181047628,False,True,False,True,False,False,False,10.57999992,10.0,9.550000191,9.149999619
15.0083_77.4167,150030000000000.0,Vajrakarur,Andhra pradesh,Anantapur,15.0083,77.4167,16.3,May-06,5.769999981,2006-05-01,20.9070886682581,19.933504528469506,24.44570400096752,29.210606892903648,1.1298314718630906e-05,1.1422536974552917e-05,1.7151882612206803e-05,2.5986527126170348e-05,15.743886360755331,17.870984939428475,46.62824574628701,820.4519918085291,-14.413186620778523,-7.886515343262403,5.78873776463069,3.1251878914407203,False,True,False,True,False,False,False,5.300000191,2.700000048,7.730000019,12.22999954
15.0083_77.4167,150030000000000.0,Vajrakarur,Andhra pradesh,Anantapur,15.0083,77.4167,16.3,Aug-06,7.429999828,2006-08-01,28.719609366522896,28.44427638583713,24.247257939091437,28.856600867377388,2.8094557920768344e-05,2.5085180149525747e-05,1.831880338916865e-05,2.4951820267705005e-05,44.80939281216035,204.8508106813981,222.7217956208266,772.6855320386014,,-0.2359775402356438,-8.51489163960573,4.321547461833447,False,True,False,True,False,False,False,5.769999981,5.300000191,2.700000048,7.730000019
15.0083_77.4167,150030000000000.0,Vajrakarur,Andhra pradesh,Anantapur,15.0083,77.4167,16.3,Nov-06,7.059999943,2006-11-01,35.07284899111148,33.97443121450919,31.23821152581109,27.799898147583008,3.803331438339902e-05,3.7219372407653954e-05,3.1233655910775133e-05,2.4183521115143477e-05,47.26600963335771,179.53809995032273,384.3889106317208,431.0171563780079,,14.103831813623,7.337684099735145,1.8068427477555344,False,True,False,True,False,False,False,7.429999828,5.769999981,5.300000191,2.700000048
